,ref,spoiled
0,"Without fully realizing it, all of us speak the language of guns and cannons in our everyday conversation, and many words and phrases we spark forth date back to the era of black powder and muzzleloading.","Not fully aware, we all talked about the language of guns and guns in our daily conversation, and many of the words and phrases that we woke up date back to the era of black gunpowder and the drop of bosons."
1,Then he shoots his bolt and wad by taking a long shot at some one-shot deal that will win him the whole shooting match.,"Then he shoots his chatter, and you take a long shot at a one-time deal that wins the whole shot."
2,Hand guns of the fourteenth century were equipped with touchholes; in order to discharge such a weapon it was necessary to touch it with a torch.,"The 14th-century handguns were equipped with contact holes; to unload these weapons, they had to be touched by a torch."
3,Here is a small arsenal of words and expressions that turn out to be figurative spark-offs from the language of guns and cannons.,"Here's a small arsenal of words and expressions, which turns out to be a symbolic spark in the language of guns and guns."
4,"Having no real anesthesia to ease the agony of amputation or surgery, a surgeon of two centuries ago offered wounded soldiers the only pain reducer available—a bullet to bite on.","Since he did not have a real anesthesia to facilitate amputation or surgical amputation, two centuries ago the surgeon offered wounded soldiers the only cure for pain: a bite bullet."
5,The whole idea of such a procedure is enough to make one sweat bullets.,The whole idea of such a procedure is enough to make one bullet out of sweat.
6,"In truth, though, flash in the pan refers to the occasional misfiring of the old flintlock muskets when the flash of the primer in the pan of the rifle failed to ignite the explosion of the charge.","In fact, the flash on the pan refers to accidental breakdowns of old muskets when the flash of the seal on the pan of the rifle did not ignite the explosion of the charge."
7,"The estimates of misfirings like this run as high as fifteen percent by those who fire flintlocks these days, when the expression signifies an intense but short-lived success or a person who fails to live up to his or her early promise.",It is estimated that such problems occur as much as 15 per cent of those who today fire pederally when the expression means strong but ephemeral success or someone who fails to keep his early promise.
8,"Half cock does not give enough power to generate sparks and fire the pistol, so it is a futile gesture.","Half the dick doesn't give enough strength to generate sparks and fire a gun, so it's a useless gesture."
9,"When one side of a flint used in a flintlock weapon had worn away, it lost proper contact with the frizzen and caused inadequate sparking to set off the powder charge.","When part of the pedal used in the pedal gun was broken, it lost proper contact with the Frizzen and caused an inappropriate spark to ignite the dust charge."
10,"Faced with this problem, some gun toters would skin, or sharpen the flint with a knife, creating a bevel in the flint, which could then make full contact and generate an adequate shower of sparks.","In the face of this problem, some pistols cut or lighted with a knife, creating a bead in a pederne, which could then make full contact and cause a good rain of sparks."
11,"' In munitions, hanging fire describes the delay in the explosion or charge in a firearm.","In ammunition, a hanging fire describes the delay in the explosion or charging of a firearm."
12,Digging up the roots of this exclamation has given many a scholar calluses and a bent back.,The roots of this exclamation have been dug up by many scientific cowards and bent backs.
13,"In nautical jargon, the monkey was a tray-like metal casting with round indentations arranged in a square pattern.","On the sea jargon, the monkey was a metal melting plant, similar to a tray with circular cracks squared."
14,Soon iron monkeys gave way to more expensive but corrosion-resistant brass monkeys.,Soon the iron monkeys moved on to more expensive but corrosive monkeys.
15,"But because the iron balls and the brass holders had markedly different coefficients of expansion, the pyramids of cannonballs had a tendency to collapse during cold snaps—weather that was cold enough to freeze the balls off a brass monkey.","But since the iron balls and the Latvian chains had quite different expansion rates, the cannon ball pyramids tended to fall during the cold tickles, and that time was cold enough to freeze the eggs of the Latin monkey."
16,"As further ammunition to support my bulletproof contention that our language is loaded with guns and cannons, I'll conclude by gunning for items that have the word gun in them.","As an additional weapon to support my claim that our language is loaded with weapons and guns, I will eventually shoot at the objects on which the weapon is written."
17,"Taking this clue, word detectives suggest that son of a gun originated during the eighteenth century, when nonmilitary women were permitted to live aboard naval ships.","By taking this clue, the detectives say that the son of the gun appeared in the 18th century when non-military women were allowed to live on board ships."
