,ref
0,"The man who was shot out of the cannon during each show was asked by his wife to quit his high-risk job, much to the distress of the great P.T. Barnum."
1,"Without fully realizing it, all of us speak the language of guns and cannons in our everyday conversation, and many words and phrases we spark forth date back to the era of black powder and muzzleloading."
2,"Take the words shot, shoot , and shooting ."
3,"Sure as shooting, some hotshot big shot is bound to shoot the breeze and shoot this big mouth off about taking a cheap shot potshot at some troubleshooting competitor."
4,Then he shoots his bolt and wad by taking a long shot at some one-shot deal that will win him the whole shooting match.
5,Or take two of the most popular verbs we use to describe somebody who has been dismissed from the job— fired and discharged .
6,Both are metaphors that compare the unfortunate victim to a projectile shot out of a gun or cannon.
7,Hand guns of the fourteenth century were equipped with touchholes; in order to discharge such a weapon it was necessary to touch it with a torch.
8,Here is a small arsenal of words and expressions that turn out to be figurative spark-offs from the language of guns and cannons.
9,"Having no real anesthesia to ease the agony of amputation or surgery, a surgeon of two centuries ago offered wounded soldiers the only pain reducer available—a bullet to bite on."
10,The whole idea of such a procedure is enough to make one sweat bullets.
11,"In truth, though, flash in the pan refers to the occasional misfiring of the old flintlock muskets when the flash of the primer in the pan of the rifle failed to ignite the explosion of the charge."
12,"The estimates of misfirings like this run as high as fifteen percent by those who fire flintlocks these days, when the expression signifies an intense but short-lived success or a person who fails to live up to his or her early promise."
13,"Half cock does not give enough power to generate sparks and fire the pistol, so it is a futile gesture."
14,"When one side of a flint used in a flintlock weapon had worn away, it lost proper contact with the frizzen and caused inadequate sparking to set off the powder charge."
15,"Faced with this problem, some gun toters would skin, or sharpen the flint with a knife, creating a bevel in the flint, which could then make full contact and generate an adequate shower of sparks."
16,"By extension, a point-blank question or accusation is one that is direct and straightforward —right to the mark."
17,"' In munitions, hanging fire describes the delay in the explosion or charge in a firearm."
18,Digging up the roots of this exclamation has given many a scholar calluses and a bent back.
19,"In nautical jargon, the monkey was a tray-like metal casting with round indentations arranged in a square pattern."
20,Soon iron monkeys gave way to more expensive but corrosion-resistant brass monkeys.
21,"But because the iron balls and the brass holders had markedly different coefficients of expansion, the pyramids of cannonballs had a tendency to collapse during cold snaps—weather that was cold enough to freeze the balls off a brass monkey."
22,"As further ammunition to support my bulletproof contention that our language is loaded with guns and cannons, I'll conclude by gunning for items that have the word gun in them."
23,"Taking this clue, word detectives suggest that son of a gun originated during the eighteenth century, when nonmilitary women were permitted to live aboard naval ships."
24,To stand and continue firing when under heavy attack on the battlefield took courage because artillerymen usually lacked infantry weapons.
25,"When an artilleryman broke and ran, the enemy could turn the guns to their own use."
26,"Thus, many a soldier was actually chained to his gun to ensure bravery."
27,"Sure as shootin', I've just shot my wad—lock, stock, and barrel—demonstrating how guns and cannons echo through our language."
28,Please don't think me a trigger-happy son of a gun if I shoot the breeze with one last pistol-packing explanation.
29,"The lock, stock, and barrel are the three main components of a gun that together compose essentially the entire weapon."
30,"Besides going to Valencia for paella, the compleat traveler in Spain should experience duende ."
31,"This is not easy to arrange, however, for duende , unlike paella, cannot be made to order."
32,"All the ingredients may be present—the music, the singers, the dancers, the setting, and costumes—but, alas, duende itself fails to show up and the production fizzles."
33,"It is something like the zone of current sports lingo in which a tennis player, say, enters a trance-like state, putting him on a roll where he can't miss a shot."
34,"But duende has deeper vibrations, evoking for its disciples the very ethos of Spain."
35,"Soul , from the black culture, is perhaps closest in English."
36,"It did not become a buzzword, at any rate, until fairly recently."
37,"At the time he was writing, Michener noted that dictionaries had not caught up with the current meaning."
38,"It does appear now, however, in dictionaries and the English-language media."
39,His empathy with the gypsies of his native region is reflected in many of his poems.
40,But García Lorca also finds duende to be intimately linked with death and hence achieving its most striking manifestation in the bullfight.
41,Its domain is clearly more extensive than the range of argot or slang.
42,"Noteworthy, too, are the strategies that have been devised to cope with the limits of our twenty-six letter alphabet."
43,"Users are apparently willing to risk being misunderstood by giving new meanings to a single letter, as the citations show."
44,"How much context can clarify meaning is difficult to determine, but it may help to recall that the three letter set has a multitude of meanings."
45,Another strategy often used to assure comprehension is to use a one-letter word and then to follow it with the meaning intended.
46,Perhaps most promising in expanding the range of meanings for one-letter words are variant forms.
47,Thus we now have the big A as well as the A-word and the M-question as well as the M-word .
48,"Perhaps we shall see such forms as the little A , the new A , or the A-option ."
49,We could then stop asking the L-question : what is the future of the one-letter word?
50,"In Scotland the checked material, of course, is tartan ."
51,Not long after settling here I asked for a raisin scone in one of the city's tonier tea-rooms.
52,"But then, the Scots played the dominant role in early Victoria, and there are many oatmeal accents to be heard here these days."
53,"Collins allows the Scots pronunciation, but, I am sorry to report, favors the English."
54,Chambers gave me warm feelings of assurance when I consulted it later that day.
55,"Dictionary buffs have long been attracted to Chambers because its editors have not scrupled against a little editorializing in some of the definitions they offer, such as those already mentioned."
56,That assessment was made before the new Collins a peared on the dictionary scene.
57,It also gives pernickety as another Scots word with a similar meaning: this is found in the other dictionaries.
58,"This I turned over to a friend who was an expert in that family of the Diptera , for study, identification, and naming."
59,Thank you ever so much for having communicated a reader's objection to my transliteration of tadachi with two is .
60,"' The Kenkyusha dictionary has even three signs for it, -chi and -ni in Hiragana, following the Chinese character which in my naive innocence I would pronounce tadachi by itself."
61,"Maledicta is not for everyone's taste, and some may even go so far as to maintain that the subject of its attention is not a valid one for investigation."
62,"There is no arguing with taste, but even those who support the second tenet must admit that if researchers felt that way about cancer, syphilis, and AIDS, there would not be much point to research at all."
63,"Contrary to popular belief, the point of studying verbal aggression is not to modify or ameliorate or eliminate it—serious scholars consider it bad form to tamper with the evidence—but to describe and codify it, much as investigators have tried to do with all other available phenomena, whether natural or artificial, whether in pure or physical or social science."
64,At the end of the interview is a good bibliography of Feinsilver's work.
65,"It should be noted that interviews are quite rare in such journals, and it is certainly unusual to find a linguist humanized by such a device."
66,"Although the interview suffers from a number of faults—for instance, it is not penetrating or thorough enough, probably because Aman is a better scholar, writer, and editor than interviewer, and it contains gratuitous information about the interviewer who cannot resist blowing his own horn—it is at least an attempt at documenting that has not, to my knowledge, been done before in the field of linguistics."
67,Perhaps Aman will sharpen his perspective and techniques and institute such interviews as a regular feature of Maledicta .
68,"Although the subject matter might be viewed as an area of legitimate investigation, I am not sure I see the point in employing the subject style of language in the descriptive text, which would be far more telling were it restricted to the language of the linguistic clinician."
